engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
gromacs_1k_timing,127,635.0,11,14,17,635.0,0.635,3.04435396194458,R-like,R_like_by_product_reference,-1.3521548509597778
gromacs_1k_timing,128,640.0,12,15,18,640.0,0.64,3.2803163528442383,R-like,R_like_by_product_reference,-3.4512815475463867
gromacs_1k_timing,129,645.0,11,14,16,645.0,0.645,3.2465665340423584,R-like,R_like_by_product_reference,-4.188925743103027
gromacs_1k_timing,130,650.0,10,14,17,650.0,0.65,3.232414960861206,R-like,R_like_by_product_reference,-2.256265640258789
gromacs_1k_timing,131,655.0,12,14,19,655.0,0.655,3.4877631664276123,R-like,R_like_by_product_reference,-5.768900871276856
gromacs_1k_timing,132,660.0,11,15,20,660.0,0.66,3.5060834884643555,S-like,S_like_by_product_reference,1.6491591930389404
gromacs_1k_timing,133,665.0,13,15,19,665.0,0.665,3.2502758502960205,S-like,S_like_by_product_reference,3.5661733150482178
gromacs_1k_timing,134,670.0,11,15,18,670.0,0.67,3.1960935592651367,R-like,R_like_by_product_reference,-0.0978140532970428
gromacs_1k_timing,135,675.0,11,15,16,675.0,0.675,3.1857831478118896,S-like,S_like_by_product_reference,0.2677676379680633
gromacs_1k_timing,136,680.0,10,14,18,680.0,0.68,3.055436134338379,R-like,R_like_by_product_reference,-1.5295960903167725
gromacs_1k_timing,137,685.0,10,14,18,685.0,0.685,3.145965576171875,R-like,R_like_by_product_reference,-0.8815107345581055
gromacs_1k_timing,138,690.0,11,15,18,690.0,0.69,3.251630544662476,R-like,R_like_by_product_reference,-2.4263570308685303
gromacs_1k_timing,139,695.0,11,14,19,695.0,0.695,3.2136733531951904,R-like,R_like_by_product_reference,-2.3656461238861084
gromacs_1k_timing,140,700.0,10,14,18,700.0,0.7,3.1298036575317383,R-like,R_like_by_product_reference,-1.6911271810531616
gromacs_1k_timing,141,705.0,10,14,17,705.0,0.705,3.287095546722412,R-like,R_like_by_product_reference,-4.098025798797607
gromacs_1k_timing,142,710.0,12,15,18,710.0,0.71,3.217657327651977,R-like,R_like_by_product_reference,-4.280055046081543
gromacs_1k_timing,143,715.0,12,15,16,715.0,0.715,3.042200088500977,R-like,R_like_by_product_reference,-1.1543790102005005
gromacs_1k_timing,144,720.0,10,15,17,720.0,0.72,2.993007183074951,R-like,R_like_by_product_reference,-2.332793474197388
gromacs_1k_timing,145,725.0,10,13,17,725.0,0.725,3.1821532249450684,R-like,R_like_by_product_reference,-2.668364763259888
gromacs_1k_timing,146,730.0,10,15,19,730.0,0.73,3.033499002456665,R-like,R_like_by_product_reference,-0.7904038429260254
gromacs_1k_timing,147,735.0,10,12,19,735.0,0.735,2.8894975185394287,R-like,R_like_by_product_reference,-1.158360242843628
gromacs_1k_timing,148,740.0,12,14,18,740.0,0.74,3.1333670616149902,R-like,R_like_by_product_reference,-1.7547950744628906
gromacs_1k_timing,149,745.0,10,13,17,745.0,0.745,3.227083444595337,R-like,R_like_by_product_reference,-2.3670361042022705
gromacs_1k_timing,150,750.0,10,13,16,750.0,0.75,3.2259249687194824,R-like,R_like_by_product_reference,-3.723779678344727
gromacs_1k_timing,151,755.0,10,14,15,755.0,0.755,3.097839117050171,R-like,R_like_by_product_reference,-2.0480220317840576
gromacs_1k_timing,152,760.0,11,15,17,760.0,0.76,3.080487012863159,S-like,S_like_by_product_reference,0.8725411295890808
gromacs_1k_timing,153,765.0,10,14,17,765.0,0.765,3.131354808807373,R-like,R_like_by_product_reference,-4.430323123931885
gromacs_1k_timing,154,770.0,11,13,16,770.0,0.77,3.130769729614258,R-like,R_like_by_product_reference,-3.0855908393859863
gromacs_1k_timing,155,775.0,10,15,16,775.0,0.775,2.986921787261963,R-like,R_like_by_product_reference,-0.6816109418869019
gromacs_1k_timing,156,780.0,11,15,16,780.0,0.78,3.03455138206482,R-like,R_like_by_product_reference,-4.319770812988281
gromacs_1k_timing,157,785.0,9,14,15,785.0,0.785,3.0334997177124023,S-like,S_like_by_product_reference,1.495544195175171
gromacs_1k_timing,158,790.0,10,13,17,790.0,0.79,2.9156978130340576,R-like,R_like_by_product_reference,-4.524026870727539
gromacs_1k_timing,159,795.0,10,13,16,795.0,0.795,3.1583056449890137,R-like,R_like_by_product_reference,-3.417642831802368
gromacs_1k_timing,160,800.0,11,14,17,800.0,0.8,3.054769515991211,R-like,R_like_by_product_reference,-2.933342456817627
gromacs_1k_timing,161,805.0,11,13,17,805.0,0.805,3.007824420928955,R-like,R_like_by_product_reference,-3.84808611869812
gromacs_1k_timing,162,810.0,10,13,18,810.0,0.81,3.162959337234497,R-like,R_like_by_product_reference,-2.406179189682007
gromacs_1k_timing,163,815.0,12,14,15,815.0,0.815,3.055176258087158,R-like,R_like_by_product_reference,-3.140113592147827
gromacs_1k_timing,164,820.0,10,14,15,820.0,0.82,3.0790903568267822,R-like,R_like_by_product_reference,-3.7890894412994394
gromacs_1k_timing,165,825.0,10,14,16,825.0,0.825,3.044567823410034,R-like,R_like_by_product_reference,-2.827247381210327
gromacs_1k_timing,166,830.0,10,14,15,830.0,0.83,2.9185445308685303,R-like,R_like_by_product_reference,-2.579444169998169
gromacs_1k_timing,167,835.0,9,14,15,835.0,0.835,2.9032745361328125,R-like,R_like_by_product_reference,-0.1100985780358314
gromacs_1k_timing,168,840.0,9,14,15,840.0,0.84,3.130652666091919,R-like,R_like_by_product_reference,-1.870848059654236
gromacs_1k_timing,169,845.0,11,14,17,845.0,0.845,3.312657594680786,R-like,R_like_by_product_reference,-2.9776482582092285
gromacs_1k_timing,170,850.0,10,14,17,850.0,0.85,3.1768229007720947,R-like,R_like_by_product_reference,-2.581989288330078
gromacs_1k_timing,171,855.0,9,14,16,855.0,0.855,3.4012343883514404,R-like,R_like_by_product_reference,-4.490971088409424
gromacs_1k_timing,172,860.0,10,14,15,860.0,0.86,3.245598077774048,R-like,R_like_by_product_reference,-4.415266990661621
gromacs_1k_timing,173,865.0,11,14,16,865.0,0.865,2.9882967472076416,R-like,R_like_by_product_reference,-3.4135241508483887
gromacs_1k_timing,174,870.0,11,13,18,870.0,0.87,2.8979666233062744,R-like,R_like_by_product_reference,-2.033223867416382
gromacs_1k_timing,175,875.0,12,14,15,875.0,0.875,3.064849376678467,R-like,R_like_by_product_reference,-3.7799830436706543
gromacs_1k_timing,176,880.0,12,15,17,880.0,0.88,2.980870246887207,R-like,R_like_by_product_reference,-2.1674277782440186
gromacs_1k_timing,177,885.0,10,14,16,885.0,0.885,2.9817793369293213,R-like,R_like_by_product_reference,-0.5324521064758301
gromacs_1k_timing,178,890.0,10,14,15,890.0,0.89,3.222331523895264,R-like,R_like_by_product_reference,-0.010996138677001
gromacs_1k_timing,179,895.0,10,14,16,895.0,0.895,3.0540621280670166,R-like,R_like_by_product_reference,-1.02608323097229
gromacs_1k_timing,180,900.0,11,13,16,900.0,0.9,3.071709394454956,R-like,R_like_by_product_reference,-2.115900993347168
gromacs_1k_timing,181,905.0,10,15,16,905.0,0.905,3.0428450107574463,S-like,S_like_by_product_reference,0.6428432464599609
gromacs_1k_timing,182,910.0,10,15,16,910.0,0.91,3.0186774730682373,R-like,R_like_by_product_reference,-1.973180055618286
gromacs_1k_timing,183,915.0,11,14,15,915.0,0.915,3.1077663898468018,R-like,R_like_by_product_reference,-2.844841957092285
gromacs_1k_timing,184,920.0,11,14,17,920.0,0.92,3.16949200630188,R-like,R_like_by_product_reference,-3.1805872917175293
gromacs_1k_timing,185,925.0,11,13,16,925.0,0.925,3.102818965911865,R-like,R_like_by_product_reference,-2.3063714504241943
gromacs_1k_timing,186,930.0,12,14,18,930.0,0.93,3.0186257362365723,R-like,R_like_by_product_reference,-3.719324827194214
gromacs_1k_timing,187,935.0,11,14,17,935.0,0.935,3.0850789546966557,R-like,R_like_by_product_reference,-3.56325364112854
gromacs_1k_timing,188,940.0,10,14,16,940.0,0.94,3.207023859024048,R-like,R_like_by_product_reference,-3.900045394897461
gromacs_1k_timing,189,945.0,11,14,17,945.0,0.945,3.315993070602417,R-like,R_like_by_product_reference,-3.803175926208496
gromacs_1k_timing,190,950.0,11,14,16,950.0,0.95,3.369662046432495,R-like,R_like_by_product_reference,-3.513366937637329
gromacs_1k_timing,191,955.0,10,14,18,955.0,0.955,3.226809024810791,R-like,R_like_by_product_reference,-5.02194356918335
gromacs_1k_timing,192,960.0,11,14,16,960.0,0.96,3.2827110290527344,R-like,R_like_by_product_reference,-3.356517553329468
gromacs_1k_timing,193,965.0,12,14,16,965.0,0.965,3.5122342109680176,R-like,R_like_by_product_reference,-4.362316131591797
gromacs_1k_timing,194,970.0,12,14,14,970.0,0.97,2.928635358810425,R-like,R_like_by_product_reference,-2.8927879333496094
gromacs_1k_timing,195,975.0,11,14,16,975.0,0.975,3.013005495071411,R-like,R_like_by_product_reference,-4.318210601806641
gromacs_1k_timing,196,980.0,12,14,15,980.0,0.98,3.294755697250366,R-like,R_like_by_product_reference,-5.105716705322266
